NAME,CATEGORY,CODE,UNIT COST,SELLING PRICE,QTY,UNIT,REORDER_LEVEL,SUPPLIER,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
REAR SHOCK MTR R150 YEL,SUSPENSION,JFS,₱950.00,"₱1,550.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR RAIDER150 280MM BLK,SUSPENSION,JFS,₱950.00,"₱1,550.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR RAIDER150 280MM RED,SUSPENSION,JFS,₱950.00,"₱1,550.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR SNIPER YEL,SUSPENSION,JSC,₱900.00,"₱1,550.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR SNIPER150 210MM BLK,SUSPENSION,JSC,₱900.00,"₱1,550.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR SNIPER150 210MM RED,SUSPENSION,JSC,₱900.00,"₱1,550.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR XRM BLK,SUSPENSION,VSC,₱700.00,"₱1,350.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MTR XRM/WAVE/SMASH 310MM BLU,SUSPENSION,VSC,₱700.00,"₱1,350.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK SMOK CLICK 330MM BLK/WHT,SUSPENSION,VSC,₱700.00,"₱1,200.00",0,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO CRYPTON BLU,SUSPENSION,JFS,₱950.00,"₱1,280.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 BLK,SUSPENSION,JFS,₱950.00,"₱1,280.00",2,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 BLU,SUSPENSION,JFS,₱950.00,"₱1,280.00",2,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 CP,SUSPENSION,JFS,₱950.00,"₱1,280.00",2,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 FROST,SUSPENSION,JFS,₱950.00,"₱1,280.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 RED,SUSPENSION,JFS,₱950.00,"₱1,280.00",4,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 SLV,SUSPENSION,JFS,₱950.00,"₱1,280.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 WHT,SUSPENSION,JFS,₱950.00,"₱1,280.00",2,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK TGO XRM110 YEL,SUSPENSION,JFS,₱950.00,"₱1,280.00",2,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK W/TANK MUTARRU MIO BLK,SUSPENSION,NSFS,"₱1,050.00","₱1,650.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK W/TANK RCB CLICK125I 330MM RED,SUSPENSION,BFBS,"₱2,520.00","₱3,500.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK W/TANK RCB CLICK125I 330MM YEL,SUSPENSION,BFBS,"₱2,520.00","₱3,500.00",1,PC,0,NA,,,,,,,,,,,,,,,,
